,Borough,Neighborhood,ID,Name,Likes,Rating,Tips
0,Bronx,Co-op City,0,0,0,0,0
1,Bronx,Norwood,0,0,0,0,0
2,Bronx,Pelham Parkway,4b9d6b45f964a52078ab36e3,Mr. Q's Chinese Restaurant,9,7.8,10
3,Bronx,Bedford Park,4e4d0387bd413c4cc66dfd72,Hung Hing Chinese Restaurant,5,6.2,2
4,Bronx,Fordham,0,0,0,0,0
5,Bronx,East Tremont,0,0,0,0,0
6,Bronx,West Farms,0,0,0,0,0
7,Bronx,High  Bridge,0,0,0,0,0
8,Bronx,Soundview,0,0,0,0,0
9,Bronx,Soundview,0,0,0,0,0
10,Bronx,Parkchester,4b89b62df964a520ff4c32e3,Sabor Latino Seafood Restaurant,5,6.7,8
11,Bronx,Parkchester,0,0,0,0,0
12,Bronx,Van Nest,0,0,0,0,0
13,Bronx,North Riverdale,4ca4fda4d971b1f77da5f2e0,Golden Phoenix Chinese Restaurant,4,5.7,1
14,Bronx,Pelham Bay,0,0,0,0,0
15,Bronx,Pelham Bay,0,0,0,0,0
16,Bronx,Pelham Gardens,0,0,0,0,0
17,Bronx,Pelham Gardens,0,0,0,0,0
18,Bronx,Concourse,4d9a695ee5fd6ea8e3096df5,Lucky House Chinese Restaurant,5,7.5,2
19,Brooklyn,Bay Ridge,5553702c498ecb85f99d8f37,XIN,6,7.1,4
20,Brooklyn,Bensonhurst,0,0,0,0,0
21,Brooklyn,Bensonhurst,0,0,0,0,0
22,Brooklyn,Greenpoint,4abd867df964a520d78a20e3,Shang Hai Lee,10,6.3,13
23,Brooklyn,Gravesend,0,0,0,0,0
24,Brooklyn,Manhattan Terrace,0,0,0,0,0
25,Brooklyn,East Flatbush,0,0,0,0,0
26,Brooklyn,Windsor Terrace,54e39b14498e9c646b42958e,East Wind Snack Shop,139,9.0,50
27,Brooklyn,Windsor Terrace,4c06e2470e0a2d7fdf8aec0c,#1 Garden Chinese Food,4,5.9,4
28,Brooklyn,Brownsville,0,0,0,0,0
29,Brooklyn,Bushwick,4ba02bb5f964a520485f37e3,Happy Garden,3,5.6,4
30,Brooklyn,Brooklyn Heights,4a9ac078f964a5207c3220e3,Fortune House,36,6.6,25
31,Brooklyn,Brooklyn Heights,4a986a9cf964a520e82b20e3,Great Wall Chinese Food,4,5.7,9
32,Brooklyn,Carroll Gardens,4b09dc38f964a520cf1e23e3,Ting Hua,5,5.6,4
33,Brooklyn,Gowanus,4c60a7cede6920a15f9d9664,Michael and Ping's,30,6.5,27
34,Brooklyn,Park Slope,49bb541ff964a520e3531fe3,Hunan Delight,73,7.4,30
35,Brooklyn,Park Slope,3fd66200f964a52059f11ee3,Mr. Wonton,24,6.7,21
36,Brooklyn,Cypress Hills,0,0,0,0,0
37,Brooklyn,East New York,0,0,0,0,0
38,Brooklyn,East New York,0,0,0,0,0
39,Brooklyn,Starrett City,0,0,0,0,0
40,Brooklyn,Bath Beach,0,0,0,0,0
41,Brooklyn,Marine Park,0,0,0,0,0
